"GEOID","NAME","variable","estimate","moe","varlab"
"3603701","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","S1501_C02_015",42.6,3.5,"Education"
"3603701","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","S1701_C03_001",16.5,4.3,"Poverty"
"3603701","NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York","S2801_C02_017",72.2,3.9,"Broadband"
"3603702","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","S1501_C02_015",24.5,2.6,"Education"
"3603702","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","S1701_C03_001",17.1,3,"Poverty"
"3603702","NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York","S2801_C02_017",58.5,4.2,"Broadband"
"3603703","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","S1501_C02_015",24.8,3.8,"Education"
"3603703","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","S1701_C03_001",12.9,3.7,"Poverty"
"3603703","NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York","S2801_C02_017",65.8,5.4,"Broadband"
"3603704","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","S1501_C02_015",27.5,3,"Education"
"3603704","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","S1701_C03_001",14.6,3.2,"Poverty"
"3603704","NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York","S2801_C02_017",61.3,3.7,"Broadband"
"3603705","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","S1501_C02_015",11.3,1.6,"Education"
"3603705","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","S1701_C03_001",40.3,4.3,"Poverty"
"3603705","NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York","S2801_C02_017",56.1,3.8,"Broadband"
"3603706","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York","S1501_C02_015",15.3,2.5,"Education"
"3603706","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York","S1701_C03_001",22.6,3.5,"Poverty"
"3603706","NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York","S2801_C02_017",63.2,4.3,"Broadband"
"3603707","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York","S1501_C02_015",15.2,2.7,"Education"
"3603707","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York","S1701_C03_001",31.4,4.3,"Poverty"
"3603707","NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York","S2801_C02_017",61.4,4.7,"Broadband"
"3603708","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York","S1501_C02_015",15.4,2.3,"Education"
"3603708","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York","S1701_C03_001",32.4,5.1,"Poverty"
"3603708","NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York","S2801_C02_017",57.4,4.7,"Broadband"
"3603709","NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York","S1501_C02_015",19.6,2.3,"Education"
"3603709","NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York","S1701_C03_001",26.6,3.8,"Poverty"
"3603709","NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York","S2801_C02_017",62.2,3.7,"Broadband"
"3603710","NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York","S1501_C02_015",13.3,2.7,"Education"
"3603710","NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York","S1701_C03_001",39.6,5.2,"Poverty"
"3603710","NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York","S2801_C02_017",58.4,4.1,"Broadband"
"3603801","NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York","S1501_C02_015",35.9,3.2,"Education"
"3603801","NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York","S1701_C03_001",15.5,2.8,"Poverty"
"3603801","NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York","S2801_C02_017",68.9,3,"Broadband"
"3603802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York","S1501_C02_015",51.5,4.8,"Education"
"3603802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York","S1701_C03_001",19.6,3.7,"Poverty"
"3603802","NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York","S2801_C02_017",78.8,4.8,"Broadband"
"3603803","NYC-Manhattan Community District 10--Central Harlem PUMA, New York","S1501_C02_015",41.2,3.8,"Education"
"3603803","NYC-Manhattan Community District 10--Central Harlem PUMA, New York","S1701_C03_001",20.1,4,"Poverty"
"3603803","NYC-Manhattan Community District 10--Central Harlem PUMA, New York","S2801_C02_017",68.6,4.1,"Broadband"
"3603804","NYC-Manhattan Community District 11--East Harlem PUMA, New York","S1501_C02_015",30.8,3.8,"Education"
"3603804","NYC-Manhattan Community District 11--East Harlem PUMA, New York","S1701_C03_001",34,4.4,"Poverty"
"3603804","NYC-Manhattan Community District 11--East Harlem PUMA, New York","S2801_C02_017",54.3,4.5,"Broadband"
"3603805","NYC-Manhattan Community District 8--Upper East Side PUMA, New York","S1501_C02_015",81.6,2.5,"Education"
"3603805","NYC-Manhattan Community District 8--Upper East Side PUMA, New York","S1701_C03_001",5.8,2,"Poverty"
"3603805","NYC-Manhattan Community District 8--Upper East Side PUMA, New York","S2801_C02_017",87.5,2.2,"Broadband"
"3603806","NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York","S1501_C02_015",80.5,3.3,"Education"
"3603806","NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York","S1701_C03_001",8.7,2.6,"Poverty"
"3603806","NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York","S2801_C02_017",83.9,3.1,"Broadband"
"3603807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York","S1501_C02_015",74.1,3.3,"Education"
"3603807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York","S1701_C03_001",11.1,2.2,"Poverty"
"3603807","NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York","S2801_C02_017",81.4,3.1,"Broadband"
"3603808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York","S1501_C02_015",81.3,3.9,"Education"
"3603808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York","S1701_C03_001",6.5,1.8,"Poverty"
"3603808","NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York","S2801_C02_017",86.5,3.4,"Broadband"
"3603809","NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York","S1501_C02_015",38.2,3.6,"Education"
"3603809","NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York","S1701_C03_001",24,3.6,"Poverty"
"3603809","NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York","S2801_C02_017",64.7,4,"Broadband"
"3603810","NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York","S1501_C02_015",82.7,2.2,"Education"
"3603810","NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York","S1701_C03_001",6.1,1.6,"Poverty"
